"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2022","94.3761","96.4149","97.8652","92.3262","483.29K","-2.11%"
"Jan 02, 2022","96.4149","94.0910","96.6958","93.1821","372.51K","2.47%"
"Jan 01, 2022","94.0910","93.2471","95.1347","91.3981","474.40K","0.87%"
"Dec 31, 2021","93.2830","94.9878","97.8933","91.2319","501.94K","-1.79%"
"Dec 30, 2021","94.9878","93.6763","96.6158","91.9939","422.10K","1.41%"
"Dec 29, 2021","93.6673","99.7022","100.7444","93.0626","585.90K","-6.02%"
"Dec 28, 2021","99.6644","107.0514","107.4280","98.8247","815.14K","-6.90%"
"Dec 27, 2021","107.0552","107.4887","111.6110","106.2928","645.75K","-0.40%"
"Dec 26, 2021","107.4887","109.1454","109.1610","105.4887","487.01K","-1.53%"
"Dec 25, 2021","109.1598","104.6252","110.4363","103.6002","714.98K","4.47%"
"Dec 24, 2021","104.4895","107.3838","109.4829","103.7239","712.87K","-2.62%"
"Dec 23, 2021","107.2998","101.5926","107.8409","99.7473","689.70K","5.67%"
"Dec 22, 2021","101.5400","97.2729","103.9187","96.1651","951.86K","4.42%"
"Dec 21, 2021","97.2379","92.6391","97.8281","92.2219","819.92K","4.98%"
"Dec 20, 2021","92.6228","95.2634","96.0210","89.5820","606.51K","-2.76%"
"Dec 19, 2021","95.2557","96.1642","98.4461","94.5402","430.14K","-1.00%"
"Dec 18, 2021","96.2134","94.5541","97.3252","92.7361","439.27K","1.75%"
"Dec 17, 2021","94.5541","97.9662","99.2027","91.5169","690.82K","-3.49%"
"Dec 16, 2021","97.9753","101.4757","103.7914","97.3957","455.01K","-3.45%"
"Dec 15, 2021","101.4783","96.0636","103.0362","91.9649","742.58K","5.64%"
"Dec 14, 2021","96.0636","92.8788","96.8750","92.1046","846.36K","3.43%"
"Dec 13, 2021","92.8788","104.1659","104.7737","90.9509","813.23K","-10.84%"
"Dec 12, 2021","104.1659","102.8567","105.7883","100.4874","340.22K","1.27%"
"Dec 11, 2021","102.8567","97.3513","103.7632","95.5031","454.32K","5.68%"
"Dec 10, 2021","97.3313","103.6663","106.4912","97.3313","666.76K","-6.24%"
"Dec 09, 2021","103.8132","113.0166","115.0780","102.8604","1.42M","-8.14%"
"Dec 08, 2021","113.0166","105.5964","121.1992","104.9629","1.96M","7.04%"
"Dec 07, 2021","105.5793","105.9937","110.1953","104.6657","783.39K","-0.39%"
"Dec 06, 2021","105.9937","107.4170","107.5138","95.1638","1.47M","-1.33%"
"Dec 05, 2021","107.4170","118.0079","121.1585","104.6524","1.05M","-9.00%"
"Dec 04, 2021","118.0365","127.6490","128.0609","99.2514","2.38M","-7.47%"
"Dec 03, 2021","127.5709","135.1064","142.0432","125.2265","1.69M","-5.58%"
"Dec 02, 2021","135.1064","135.0169","135.9363","131.4621","477.33K","0.07%"
"Dec 01, 2021","135.0169","136.9199","143.0605","133.5087","893.81K","-1.39%"
"Nov 30, 2021","136.9199","134.4506","139.2231","131.6740","808.21K","1.84%"
"Nov 29, 2021","134.4506","133.0537","137.4116","132.8098","738.08K","1.05%"
"Nov 28, 2021","133.0537","127.7223","134.6810","123.4136","747.44K","4.17%"
"Nov 27, 2021","127.7223","125.3404","129.6770","124.6403","483.01K","1.90%"
"Nov 26, 2021","125.3404","138.7600","140.0844","122.9695","1.14M","-9.67%"
"Nov 25, 2021","138.7600","140.2610","144.3513","136.7898","1.10M","-1.08%"
"Nov 24, 2021","140.2782","136.4099","144.8480","132.6920","1.80M","2.77%"
"Nov 23, 2021","136.4989","128.0577","138.8257","126.7269","1.02M","6.59%"
"Nov 22, 2021","128.0577","130.4302","132.5929","125.9632","820.83K","-1.87%"
"Nov 21, 2021","130.5007","132.4902","141.5072","128.2387","1.20M","-1.50%"
"Nov 20, 2021","132.4902","131.6053","133.0599","126.2230","985.08K","0.67%"
"Nov 19, 2021","131.6053","123.6814","133.1794","122.2476","945.47K","6.41%"
"Nov 18, 2021","123.6721","135.2636","136.8178","120.4992","1.35M","-8.57%"
"Nov 17, 2021","135.2636","133.4723","139.4334","130.5938","1.15M","1.18%"
